name;category;year_published;designer;min_age;average_rating;users_rated;min_players;max_players;publisher
Peasant Buffet;Card Game;2015;Wayne Butler;0;5.69037;54;2;7;Wargi Studios
Game Developerz;Card Game;2014;Marco Tonetti;14;5.48241;54;2;6;Onion Squire
KUNE v LAKIA: A Chronicle Of A Royal Lapine Divorce Foretold;Animals;2015;Babis Giannios;12;6.84294;153;2;2;LudiCreations
Zombies Keep Out;Card Game;2014;David Carl;8;6.38953;148;1;6;Privateer Press
Level 7 [Invasion];Science Fiction;2014;Will Schoonover;0;7.16779;122;3;5;Privateer Press
Tokaido Collector's Edition;Travel;2015;Antoine Bauza;8;7.70125;729;2;5;Funforge
A Fistful of Dinero;Action / Dexterity;2015;Charlie Theel;10;6.41569;51;3;6;Magic House Games
Snake Oil: Party Potion;Card Game;2014;Jeff Ochs;8;7.25707;99;3;6;Out of the Box Publishing
Snake Oil: Elixir;Card Game;2015;Jeff Ochs;10;7.52358;53;3;8;Out of the Box Publishing
Regular Show Fluxx;Card Game;2014;Andrew Looney;8;6.25083;180;2;6;Looney Labs
Apex Theropod Deck-Building Game;Animals;2015;Herschel Hoffmeyer;14;7.40353;340;1;6;Die-Hard Games LLC
Hipster Dice;Dice;2014;Samuel Mitschke;10;4.14794;63;3;99;Steve Jackson Games
MERCS: Recon – Assassination Protocol;Fighting;2015;Brian Shotton;12;6.86429;112;1;5;MegaCon Games
Zombie Island;Abstract Strategy;2014;François Valentyne;13;5.585;50;1;4;The Flux Capacity
Blood of the Werewolf;Bluffing;2013;Chih-Fan Chen;10;5.22188;64;4;9;Homosapiens Lab
Legendary: Villains – A Marvel Deck Building Game;Card Game;2014;Devin Low;14;7.75021;1788;1;5;Upper Deck Entertainment
Reglamentacja: Gra na Kartki;Card Game;2014;Karol Madaj;10;6.62576;66;3;5;Instytut Pamięci Narodowej (IPN)
Fleets: The Pleiad Conflict;Science Fiction;2014;Daniel Fryxelius;12;6.96667;81;2;4;FryxGames
Balance of Powers;Wargame;2015;John Gorkowski;0;7.87909;55;1;7;Compass Games
Planes;Aviation / Flight;2014;David Short;14;6.04893;469;2;4;Alderac Entertainment Group (AEG)
Ascension: Realms Unraveled;Card Game;2014;Justin Gary;13;7.70205;672;1;4;Stone Blade Entertainment
MBT (second edition);Modern Warfare;2016;James M. Day;0;8.20741;81;2;2;GMT Games
New Bedford;City Building;2016;Nathaniel Levan;12;7.30221;727;1;4;Greater Than Games (Dice Hate Me Games)
Birth;Abstract Strategy;2013;Takashi Sakaue;8;6.5134;50;2;3;Product Arts LLC
Linkage: A DNA Card Game;Card Game;2014;John Coveyou;8;5.97684;95;2;4;Genius Games
Escape: The Curse of the Temple – Big Box;Adventure;2014;Kristian Amundsen Østby;8;7.75411;833;1;6;Queen Games
Roll For It! Express;Dice;2014;Chris Leder;8;5.935;80;1;1;Calliope Games
The Lord of the Ice Garden;Fantasy;2014;Krzysztof Wolicki;14;7.76442;536;1;4;REDIMP GAMES
Frankenstein's Bodies;Fantasy;2014;Andrew Harman;10;6.57651;105;2;6;YAY Games
Onward to Venus;Comic Book / Strip;2014;Martin Wallace;0;6.94089;895;2;5;Treefrog Games
Migration: Book II – A Saga of Conflict;Animals;2014;Joe Cannon;12;7.25741;54;2;4;(Self-Published)
NHL Power Play Team-Building Card Game;Card Game;2014;Matt Hyra;15;7.1147;198;2;4;Cryptozoic Entertainment
Bedpans & Broomsticks;NA;2014;Fréderic Moyersoen;8;4.80303;66;2;5;Mayfair Games
Tortilla de patatas: the game;Card Game;2014;Xavier Carrascosa;6;6.15221;95;2;4;darbel
1914: Glory's End / When Eagles Fight;Wargame;2014;Ted Raicer;0;7.2785;100;2;2;GMT Games
Dragon Slayer;Dice;2014;David J. Mortimer;14;5.68261;1375;2;5;Indie Boards & Cards
Villainy;Comic Book / Strip;2014;Nicholas Trahan;12;6.19573;82;2;4;Mayfair Games
The Institute for Magical Arts;Dice;2015;Steve Finn;8;7.01518;229;2;2;Dr. Finn's Games
Billionaire Banshee;Card Game;2014;Steven "Razlo" Bailey;13;6.54565;205;2;15;Breaking Games
Waggle Dance;Animals;2014;Mike Nudd;10;7.09426;877;2;4;Grublin Games Publishing
Rampage;Wargame;2015;Ty Bomba;0;6.45472;53;1;1;Decision Games (I)
