name;category;year_published;designer;min_age;average_rating;users_rated;min_players;max_players;publisher
Tal der Könige;Ancient;1992;Christian Beierer;12;6.60675;314;2;4;KOSMOS
Mare Mediterraneum;Civilization;1989;Jean du Poël;12;6.52534;73;2;6;Historien Spiele Galerie (Historien Spielegalerie)
MarraCash;Economic;1996;Stefan Dorra;12;6.84341;877;3;4;KOSMOS
Twilight Imperium;Civilization;1997;Christian T. Petersen;12;6.66812;667;2;6;Fantasy Flight Games
Battlemist;Exploration;1998;Christian T. Petersen;12;5.93231;308;2;6;Fantasy Flight Games
Dragon Masters;Fantasy;1991;Ian Livingstone;12;5.69731;130;2;4;Games Workshop Ltd.
Airlines;Aviation / Flight;1990;Alan R. Moon;12;6.61065;346;2;6;ABACUSSPIELE
Giganten;Economic;1999;Wilko Manz;10;6.75663;1294;3;4;KOSMOS
Vinci;Ancient;1999;Philippe Keyaerts;14;7.13097;3712;3;6;Descartes Editeur
Air Baron;Aviation / Flight;1996;Evan Davis (I);10;6.38664;716;2;6;Avalon Hill
WestFront;Wargame;1992;Craig Besinque;12;6.89085;177;2;2;Columbia Games
Bobby Lee;American Civil War;1993;Tom Dalgliesh;12;6.83287;297;2;2;Columbia Games
Fortress America;Science Fiction;1986;NA;12;6.6939;2144;2;4;Milton Bradley
Detroit-Cleveland Grand Prix;Card Game;1996;Wolfgang Kramer;8;6.7734;1023;2;6;Mayfair Games
Extrablatt;Territory Building;1991;Karl-Heinz Schmiel;14;7.04646;246;3;4;Moskito Spiele
Mit List und Tücke;Card Game;1999;Klaus Palesch;10;6.61422;204;4;6;Berliner Spielkarten
Princess Ryan's Star Marines;Deduction;1997;Mark McLaughlin;10;5.31929;197;1;6;Avalon Hill
Frischfleisch;Exploration;1999;Friedemann Friese;18;6.12852;142;2;6;2F-Spiele
Robin Hood;Card Game;1999;Klaus Palesch;8;5.49324;74;3;6;AMIGO Spiel + Freizeit GmbH
Elfenwizards;Negotiation;1995;Alan R. Moon;10;6.175;104;3;6;White Wind
Die Glücksritter;Bluffing;1999;Klaus Kreowski;8;5.7768;125;3;6;Schmidt Spiele
Piratenbillard;Action / Dexterity;1959;Reinhold Wittig;8;6.56711;336;2;4;ABACUSSPIELE
Union vs. Central;Adventure;1999;Dieter Danziger;12;6.66914;81;2;2;Winsome Games
Before I Kill You, Mister Spy...;Card Game;1996;James Ernest;12;5.40672;1116;3;6;Cheapass Games
Pool Position;Abstract Strategy;1999;Thorsten Gimmler;10;5.78083;120;2;5;F.X. Schmid
Devil Bunny Needs a Ham;Print & Play;1998;James Ernest;8;5.39;680;2;5;Cheapass Games
Die Siedler von Nürnberg;Medieval;1999;Klaus Teuber;10;6.97379;831;3;4;KOSMOS
Dolce Vita;Card Game;1999;Reiner Stockhausen;10;6.15628;183;3;5;Hans im Glück Verlags-GmbH
NASCAR Champions;Dice;1998;Craig Van Ness;8;5.36389;90;2;5;Milton Bradley
Buried Treasure;Card Game;1992;Sid Sackson;10;6.01825;228;2;4;F.X. Schmid
Volle Hütte;Economic;1997;Stefan Dorra;12;6.17719;160;3;5;ASS Altenburger Spielkarten
Merchant of Venus;Economic;1988;Richard Hamblen;12;7.17453;2416;1;6;Avalon Hill
Geronimo;American Indian Wars;1995;Richard H. Berg;12;5.58441;209;1;5;Avalon Hill
Colonial Diplomacy;Bluffing;1994;Peter Hawes;12;6.62425;341;2;7;Avalon Hill
Starship Troopers: Prepare For Battle!;Movies / TV / Radio theme;1997;Ben Knight;10;5.72447;188;2;4;Avalon Hill
Olympia 2000 (v. Chr.);Ancient;1994;Stefan Dorra;9;6.06444;248;2;5;Hans im Glück Verlags-GmbH
Manitou;Card Game;1997;Günter Burkhardt;12;6.11949;331;2;4;Goldsieber Spiele
Cheops;Ancient;1998;Klaus Paal;9;6.19837;246;2;5;Hans im Glück Verlags-GmbH
Guerilla;Card Game;1994;Neal Schlaffer;10;6.25277;361;3;6;Avalon Hill
The Very Clever Pipe Game;Abstract Strategy;1996;James Ernest;10;6.23604;787;2;4;Cheapass Games
Ostindiska Kompaniet;Economic;1991;Dan Glimne;10;4.75;130;2;5;G&RRR
Advanced Third Reich;Wargame;1992;Bruce Harper;12;6.73416;639;2;6;Avalon Hill
Rossyïa 1917;Civil War;1995;François-Stanislas Thomas;0;7.25508;63;2;5;Azure Wish Enterprise (AWE)
Keydom;Bluffing;1998;Richard Breese;10;6.78667;75;2;5;R&D Games
Lang lebe der König;Wargame;1997;Günter Burkhardt;10;5.17768;69;3;5;F.X. Schmid
Candidate;Political;1991;Richard Winter;10;5.53743;169;2;6;Avalon Hill
Santa Fe;Trains;1992;Alan R. Moon;10;6.95543;215;2;5;White Wind
Big Boss;Economic;1994;Wolfgang Kramer;10;7.0836;334;2;6;KOSMOS
Highlanders;Medieval;1993;Reinhard Herbert;12;6.24854;171;3;5;Jumbo
Tonga Bonga;Economic;1998;Stefan Dorra;10;6.48544;449;3;4;Ravensburger Spieleverlag GmbH
Anno 1452;Medieval;1999;Gerhard E. Kodys;12;6.06722;180;2;4;Piatnik
Ponte Vecchio;Economic;1996;Spartaco Albertarelli;12;5.79551;78;3;5;Editrice Giochi
Block Mania;Comic Book / Strip;1987;Richard Halliwell;14;6.42973;374;2;2;Games Workshop Ltd.
Vernissage;Economic;1993;Klaus Teuber;12;6.32335;182;3;5;TM Spiele
Jumpin;Abstract Strategy;1964;(Uncredited);8;5.45858;169;2;2;3M
Hong Kong;Abstract Strategy;1999;Reiner Knizia;8;5.76522;69;2;2;Piatnik
Members Only;Bluffing;1996;Reiner Knizia;10;6.60217;311;3;5;Blatz
Fishy;Animals;1991;Alan R. Moon;10;5.59262;61;3;6;White Wind
Halunken & Spelunken;Card Game;1997;Alex Randolph;10;5.604;269;3;4;KOSMOS
Das letzte Paradies;NA;1993;Reiner Knizia;12;5.74043;141;3;5;KOSMOS
Quests of the Round Table;Card Game;1995;Scott Kimball;10;5.35462;260;2;4;Gamewright
Tricks;Card Game;1995;Alan R. Moon;10;5.66685;54;3;5;White Wind
Viva Pamplona!;Racing;1992;Wolfgang Kramer;8;6.3549;363;2;6;F.X. Schmid
Colorado County;American West;1998;Reinhard Staupe;10;6.15786;159;2;4;Schmidt Spiele
6 Billion;Science Fiction;1999;David Coutts;12;5.30754;134;2;5;Board Not Bored Games
DruidenWalzer;Card Game;1999;Michael Rieneck;12;5.95985;715;2;2;KOSMOS
Lancashire Railways;Economic;1998;Martin Wallace;12;6.90849;106;3;6;Winsome Games
Express;Card Game;1990;Darwin Bromley;8;6.19128;578;2;6;Mayfair Games
X Pasch;Card Game;1996;Valentin Herman;8;6.21889;90;3;6;Fanfor-Verlag
Turf Horse Racing;Animals;1995;Reiner Knizia;10;6.52979;94;3;6;Gibsons Games
TurfMaster;Animals;1998;Albrecht Nolte;10;7.22221;826;2;8;AZA Spiele
Finale;Card Game;1998;Oliver Abendroth;12;5.77544;228;2;2;KOSMOS
Dinosaurs of the Lost World;Adventure;1987;Mick (Mike) Uhl;8;6.53874;374;1;4;Avalon Hill
Tom Clancy's Politika;Political;1997;Jim Van Verth;12;4.16234;192;2;8;Red Storm Entertainment
Shanghai;Bluffing;1997;Sid Sackson;12;5.30547;128;3;6;Ravensburger Spieleverlag GmbH
Gold Connection;Dice;1992;Sid Sackson;10;6.48705;139;2;4;Schmidt Spiele
Dschungel;Card Game;1999;Bernhard Naegele;10;4.7069;58;2;4;Adlung-Spiele
1856;Economic;1995;Bill Dixon;14;7.4858;1051;3;6;Mayfair Games
1870;Economic;1992;Bill Dixon;14;7.42473;806;2;6;Mayfair Games
Thunder's Edge;Political;1999;Christian T. Petersen;12;6.22912;132;2;5;Fantasy Flight Games
Grass;Card Game;1980;Jeff London;18;5.93233;970;2;6;Euro Games
Galopp Royal;Dice;1995;Klaus Teuber;9;5.8585;200;3;6;Goldsieber Spiele
Magalon;Fantasy;1998;Wolfgang Kramer;12;5.97778;198;2;4;Ravensburger Spieleverlag GmbH
Zoff in Buffalo;American West;1998;Christwart Conrad;12;6.34751;261;2;5;F.X. Schmid
Filthy Rich;Economic;1998;Richard Garfield;14;6.37809;647;2;5;Wizards of the Coast
Am Fuß des Kilimandscharo;Racing;1995;Reiner Knizia;7;5.5481;79;2;4;Hans im Glück Verlags-GmbH
Jumbo Grand Prix;Card Game;1998;Reiner Knizia;8;5.80826;121;2;5;Jumbo
Ausgebremst;Racing;1993;Wolfgang Riedesser;10;6.92169;225;3;6;ASS Altenburger Spielkarten
Freibeuter;Economic;1998;Reiner Stockhausen;9;6.30989;177;2;4;Hans im Glück Verlags-GmbH
Magic: The Gathering;Card Game;1993;Richard Garfield;13;7.43768;22883;2;2;Wizards of the Coast
Zankapfel;Bluffing;1993;Ralf zur Linde;12;6.24561;57;3;6;VSK-Erwachsenenspiele
In Teufels Küche;Bluffing;1993;Alex Randolph;10;6.06972;109;2;4;F.X. Schmid
Road to the White House;Political;1992;Jim Musser;12;6.13635;249;3;6;Mayfair Games
Olé!;Card Game;1996;Wolfgang Panning;8;6.58429;226;3;8;ABACUSSPIELE
Mr. President;Card Game;1967;Jack Carmichael;12;6.61184;266;2;4;3M
Bambuti;Card Game;1999;Hartmut Kommerell;12;5.9287;115;2;2;Adlung-Spiele
Pacal;Card Game;1999;Günter Burkhardt;12;6.19779;86;2;2;Klee
Warangel;Fantasy;2000;Angelo Porazzi;12;7.66751;235;2;6;Angelo Porazzi Games
MARK;Economic;1997;Ronald M. Corn;10;5.97222;54;2;4;franjos Spieleverlag
Goldener Drache;Fantasy;1992;Wolfgang Riedesser;10;5.72656;96;2;5;F.X. Schmid
Eschnapur;Exploration;2000;Reinhard Staupe;10;5.72727;194;3;5;Schmidt Spiele
6-Tage Rennen;Racing;1986;Walter Toncar;8;6.89286;232;3;8;Holtmann VIP
Mush;Racing;1994;Alan R. Moon;10;5.83739;111;2;6;White Wind
Pisa;Card Game;1999;Günter Burkhardt;12;6.30721;104;3;5;Adlung-Spiele
Entenrallye;Racing;1988;Walter Müller;10;5.71818;66;2;6;Walter Müller's Spielewerkstatt
Labyrinth: The Card Game;Card Game;2000;Max J. Kobbert;7;5.53712;1041;2;6;Ravensburger Spieleverlag GmbH
Power Barons;Card Game;1986;(Uncredited);10;5.39224;165;3;4;Milton Bradley
Sisimizi;Abstract Strategy;1996;Alex Randolph;10;6.3048;198;2;4;Editrice Giochi
Democrazy;Card Game;2000;Bruno Faidutti;12;5.50497;1071;4;10;Descartes Editeur
Buck Rogers: Battle for the 25th Century Game;Comic Book / Strip;1988;Jeff Grubb;10;6.41815;712;2;6;TSR
Laguna;Puzzle;2000;Bernhard Weber;9;5.86189;125;2;4;Queen Games
Der weiße Lotus;Medieval;2000;Martin Wallace;12;6.17457;208;3;6;TM Spiele
Doolittle & Waite;Bluffing;1986;(Uncredited);0;6.21793;87;4;15;Inward Games
Die Seidenstraße;Racing;1998;Hartmut Kommerell;10;5.39241;79;2;7;Schmidt Spiele
Port Royal;Card Game;2000;Wolfgang Panning;10;6.16327;113;3;4;Queen Games
Das Kollier;Card Game;2000;André Frobel;10;5.5339;59;3;6;Schmidt Spiele
Tile Chess;Abstract Strategy;1999;Jason Wittman;12;5.93413;225;2;6;Steve Jackson Games
Kardinal;Abstract Strategy;2000;Wolfgang Panning;10;6.675;112;2;4;Holzinsel
Favoriten;Racing;1989;Walter Müller;9;6.38804;158;2;5;Walter Müller's Spielewerkstatt
Escape from Elba;Fighting;1999;James Ernest;10;5.42468;154;3;6;Cheapass Games
Die Weinhändler;NA;2000;Dominique Ehrhard;10;5.06339;56;3;6;Piatnik
Putsch;Political;1998;Heiko Wiese;16;5.51987;78;3;6;Queen Games
We the People;Age of Reason;1994;Mark Herman;12;7.33241;1058;2;2;Avalon Hill
Business;Economic;1998;Sid Sackson;8;6.14306;72;2;6;Relaxx
War and Peace;Napoleonic;1980;Mark McLaughlin;12;6.65409;918;2;6;Avalon Hill
Q-Turn;Abstract Strategy;1999;Andrew Looney;8;5.02936;157;2;4;Looney Labs
Daytona 500;Card Game;1990;Wolfgang Kramer;10;7.14886;947;2;4;Milton Bradley
American Megafauna;Animals;1997;Phil Eklund;9;7.00869;328;1;4;Sierra Madre Games
Oodles;Party Game;1992;Brian Hersch;0;6.15255;232;3;10;Milton Bradley
Mystick Domination;Card Game;2000;Eric M. Lang;12;6.4951;102;2;5;Anoch Game Systems
Fairy Meat;Miniatures;2000;Scott Leaton;12;5.91274;84;2;100;Kenzer and Company
Shit!;Card Game;1996;Reinhard Staupe;8;5.48129;101;2;6;Adlung-Spiele
Münchhausen;Bluffing;1996;Thomas Schneider Axmann;8;5.83728;114;3;8;ABACUSSPIELE
Riffifi;Card Game;2000;Stefan Dorra;10;5.96609;87;3;5;Winning Moves Germany
Sternenhimmel;Bluffing;1995;Tom Schoeps;10;6.5774;310;3;5;Goldsieber Spiele
Starship Troopers;Novel-based;1976;Randall C. Reed;12;6.45814;1031;1;2;Avalon Hill
Bull Run;American Civil War;1983;Richard Hamblen;12;6.21137;175;2;2;Avalon Hill
Minion Hunter;Horror;1992;Lester Smith;12;6.11295;183;1;6;GDW Games
Manchu;Wargame;1988;Richard H. Berg;12;5.78095;63;2;2;3W (World Wide Wargames)
Fibonacci;Abstract Strategy;1992;Thomas Naylor;0;6.33246;57;2;2;Thomas Naylor and Associates
Gother Than Thou;Card Game;2000;R. Hunter Gough;15;4.5848;198;3;5;Savant Garde Entertainment
Wabbit Wampage;Comic Book / Strip;1985;Mark Acres;12;5.8896;202;2;4;Pacesetter
Roman Civil War;Ancient;1993;Joseph Miranda;12;6.89648;71;2;2;Decision Games (I)
Montgolfiere;Aviation / Flight;1992;Dominique Ehrhard;7;5.81943;535;2;6;Eurogames
Caesar in Gallia;Ancient;1993;Joseph Miranda;0;6.68922;51;2;2;Decision Games (I)
Holy War: Afghanistan;Political;1991;Joseph Miranda;12;6.21618;68;2;2;Decision Games (I)
Elfenroads;Fantasy;1992;Alan R. Moon;10;7.15087;266;2;6;White Wind
Blood Bowl (Third Edition);Fantasy;1994;Jervis Johnson;12;7.57274;4492;2;2;Games Workshop Ltd.
X-Men Alert;Comic Book / Strip;1992;Richard Borg;9;6.15464;347;2;4;Pressman Toy Corp.
Trajan;Ancient;1991;Joseph Miranda;12;6.79154;94;2;2;Decision Games (I)
Germania;Ancient;1995;Joseph Miranda;12;6.79577;52;2;2;Decision Games (I)
Maul of America;Fighting;1998;Eric Canfield;12;4.63571;105;2;6;Jolly Roger Games
Thunder at Cassino;Wargame;1987;Courtney F. Allen;12;7.00827;351;1;2;Avalon Hill
Lunatix Loop;Racing;2000;Matt Leacock;10;6.26538;65;4;6;Locust Games
Turning Point: Stalingrad;Wargame;1989;Don Greenwood;12;7.18437;611;2;2;Avalon Hill
Keytown;Medieval;2000;Richard Breese;12;6.46684;98;2;5;R&D Games
Beim Zeus!;Ancient;1997;Klaus Palesch;12;5.14789;71;3;6;KOSMOS
Tabloid Teasers;Bluffing;1991;(Uncredited);10;5.92434;76;3;6;Pressman Toy Corp.
Dog Eat Dog;Economic;1999;Evan Jones;12;5.26417;127;2;6;QED Games
Palermo;City Building;1992;Walter Ziser;10;5.86765;68;3;5;Piatnik
Terra Turrium;Abstract Strategy;1990;Wolfgang Kramer;12;6.04695;82;2;4;KOSMOS
Löwendynastie;Card Game;1998;Hartmut Witt;10;5.98986;74;3;6;Adlung-Spiele
Foil;Card Game;1968;Frederick A. Herschler;10;5.61917;133;2;4;3M
Pipeline;Abstract Strategy;1988;Ed Okimura;8;5.3225;80;2;4;Playco Hawaii
Chrononauts;Bluffing;2000;Andrew Looney;11;6.22636;4590;1;6;Looney Labs
Schrille Stille;Economic;1999;Peter Wichmann;10;6.51615;638;3;6;Zoch Verlag
Razzia;Bluffing;1992;Stefan Dorra;12;6.3546;274;3;8;Ravensburger Spieleverlag GmbH
Circus Minimus;Ancient;2000;Dean Essig;12;6.39188;197;2;7;The Gamers
Mausoleum;Card Game;2000;R. Hunter Gough;12;4.5587;92;3;5;Savant Garde Entertainment
Titanic: Der Mythos;Card Game;1998;Bernhard Naegele;10;5.44733;131;2;5;Adlung-Spiele
Illuminati;Card Game;1982;Steve Jackson (I);12;6.19011;2312;2;6;Steve Jackson Games
Landslide;Political;1971;(Uncredited);9;6.10868;190;2;4;Parker Brothers
Morisi;Transportation;2000;Corné van Moorsel;10;6.50929;226;2;4;Cwali
Empires of the Ancient World;Ancient;2000;Martin Wallace;12;6.60815;503;3;5;Warfrog Games
Way Out West;American West;2000;Martin Wallace;12;6.16928;639;3;5;Warfrog Games
APBA Pro Baseball;Sports;1951;Dick Seitz;10;6.79954;219;1;2;APBA International
Movie Mania;Card Game;1992;(Uncredited);13;4.56927;56;2;4;Endgame Entertainment
Meuterer;Card Game;2000;Marcel-André Casasola Merkle;12;6.94857;2995;3;4;Adlung-Spiele
Hamsterrolle;Action / Dexterity;2000;Jacques Zeimet;7;6.846;1657;2;4;Zoch Verlag
Saturn;Action / Dexterity;1997;Werner Falkhof;8;6.76695;174;2;4;Theta
Kunst Stücke;NA;1995;Karl-Heinz Schmiel;12;6.52;160;2;5;Moskito Spiele
Piraten-Pitt;Children's Game;2000;Wolfgang Kramer;6;6.0878;82;2;4;HABA - Habermaaß GmbH
Lift Off;Card Game;2000;Marcel-André Casasola Merkle;8;5.1711;154;2;4;Queen Games
Gerüchteküche;Card Game;2000;Hartmut Witt;7;5.02239;67;3;7;Adlung-Spiele
New Orleans Big Band;Music;1990;Herbert Schützdeller;10;5.82714;105;3;6;ASS Altenburger Spielkarten
Pony Express;American West;1991;Alan R. Moon;12;5.26212;118;2;6;ABACUSSPIELE
Super Giant Monster Showdown;Card Game;1999;Alex Strang;10;6.00191;87;2;9;Cybergecko
Luftschiff;Aviation / Flight;1996;Phil Eklund;12;7.04308;65;1;2;Sierra Madre Games
Canaletto;NA;1995;Günter Cornett;12;5.36444;90;3;4;Hans im Glück Verlags-GmbH
Das Regeln Wir Schon;NA;1994;Karl-Heinz Schmiel;12;6.40192;52;3;5;Moskito Spiele
Die Hanse;Medieval;1993;Tom Schoeps;10;5.7234;156;3;6;Laurin Verlag
Die Schlangen von Delhi;NA;1994;Manfred Franz;8;5.58281;64;2;4;Blatz
Dream Team;Card Game;1997;Hartmut Witt;12;4.96364;66;2;6;ABACUSSPIELE
Energie Poker;Economic;1980;Jürgen Herz;10;6.68462;65;2;4;ASS Altenburger Spielkarten
Kraut & Rüben;Farming;1998;Gerd Fenchel;8;5.98981;108;3;5;KOSMOS
TV Wars;Economic;1987;Bruce Nash;10;5.5081;253;3;4;Avalon Hill
Gunslinger;American West;1982;Richard Hamblen;12;7.06806;855;1;7;Avalon Hill
Orbit;Abstract Strategy;1993;Alex Randolph;12;6.37288;59;3;6;KOSMOS
Waldschattenspiel;Children's Game;1985;Walter Kraul;6;6.24783;360;3;8;Kraul
Aztec;Abstract Strategy;1995;Niek Neuwahl;10;6.515;60;2;3;Zoch Verlag
Four Real;Party Game;1999;A. Robert Moog;10;4.7451;51;2;2;University Games
Judge Dredd;Comic Book / Strip;1982;Ian Livingstone;8;6.18213;418;2;6;Games Workshop Ltd.
Titus;Card Game;2000;Uwe Rosenberg;10;5.23718;78;2;4;Adlung-Spiele
Kathai;Card Game;2000;Michael Andersch;10;5.76748;163;3;5;Adlung-Spiele
Dry Gulch;American West;1999;Alan D. Ernstein;10;5.46102;59;3;6;Hangman Games
Halali;Bluffing;1997;Jean du Poël;14;6.13793;87;2;5;Historien Spiele Galerie (Historien Spielegalerie)
Domain: The Warlock's Challenge;Adventure;1991;Edward Beck;12;5.40676;74;1;4;Hobby Products GmbH
Warrior Knights;Fighting;1985;Derek Carver;10;6.62;506;2;6;Games Workshop Ltd.
Shadowlord!;Abstract Strategy;1983;Brad Stock;10;5.57059;343;2;4;Parker Brothers
Flower Power;Bluffing;1998;Oliver Igelhaut;10;6.20288;52;2;6;Glücksritter Spiele
Sphinx;Ancient;1999;Gunter Baars;8;5.42976;156;2;4;Ravensburger Spieleverlag GmbH
Chaos Marauders;Card Game;1987;Stephen Hand;10;5.91756;459;2;4;Games Workshop Ltd.
Nanuuk!;NA;1998;Günter Cornett;8;5.71646;82;2;4;Bambus Spieleverlag
Witch Trial;Card Game;2001;James Ernest;10;6.24219;617;3;7;Cheapass Games
Luxor;Ancient;2001;Gunter Baars;9;6.02579;190;2;4;Ravensburger Spieleverlag GmbH
Cults Across America;Horror;1998;Jeff Tidball;12;5.67327;361;2;6;Atlas Games
Up the River;Children's Game;1988;Manfred Ludwig;6;5.63715;181;2;4;Ravensburger Spieleverlag GmbH
Secret Labyrinth;Children's Game;1998;Max J. Kobbert;10;4.73067;163;2;4;Ravensburger Spieleverlag GmbH
Saludos Amigos!;Negotiation;1996;Peter Lewe;0;5.45704;71;4;7;Goldsieber Spiele
Autoscooter;Bluffing;1999;Günter Cornett;10;6.18893;192;2;8;Bambus Spieleverlag
Split Second;Action / Dexterity;1992;(Uncredited);10;6.31571;140;3;6;Parker Brothers
Gangland!;Card Game;1996;Bruce Quade;12;5.66238;101;3;8;Corglenburg Ltd.
Safari Jack;Abstract Strategy;1998;James Ernest;10;5.34699;266;2;4;Cheapass Games
Hacker;Card Game;1992;Steve Jackson (I);14;5.87479;409;2;6;Steve Jackson Games
Crack the Case;Deduction;1993;Robert R. Schoch;12;5.85426;427;2;8;Milton Bradley
Vegas;NA;1996;Reiner Knizia;12;4.97108;83;2;4;Ravensburger Spieleverlag GmbH
Star Wars Episode I: Customizable Card Game;Card Game;1999;(Uncredited);8;4.64051;136;2;4;Decipher
Pivot;Card Game;1998;André François;10;5.18493;73;2;8;Wizards of the Coast
Der Schattendieb;Bluffing;2001;Jürgen P. Grunau;8;3.97857;56;3;7;AMIGO Spiel + Freizeit GmbH
Polar Dare!;Animals;1991;Dan Glimne;8;5.55349;103;2;4;Milton Bradley
Volltreffer;Card Game;1999;Günter Burkhardt;10;6.62069;58;3;5;Berliner Spielkarten
Dutch InterCity;Trains;1999;Han Heidema;12;6.69719;89;2;6;Winsome Games
Input;Abstract Strategy;1984;(Uncredited);10;5.57083;120;2;2;Milton Bradley
Netrunner;Card Game;1996;Richard Garfield;10;7.46518;2111;2;2;Wizards of the Coast
Haunted Castle;Deduction;1999;Lucien Geelhoed;5;5.8125;76;2;4;Ravensburger Spieleverlag GmbH
Die Magier von Pangea;Economic;2001;Ralf Burkert;10;6.22639;625;2;4;Queen Games
Auf Achse: Das Kartenspiel;Card Game;1995;Wolfgang Kramer;8;5.86988;83;2;5;F.X. Schmid
Nur Peanuts!;Economic;2001;Heinz Meister;8;6.06705;220;2;6;Goldsieber Spiele
Warhamster Rally;Fantasy;2001;Frank Branham;8;5.77646;229;3;5;Jolly Roger Games
Auf falscher Fährte;Card Game;2001;Jürgen Kraul;10;6.50103;97;3;4;Berliner Spielkarten
Magic Hill;Card Game;2001;Rüdiger Dorn;8;6.02421;254;2;5;Ravensburger Spieleverlag GmbH
Boom-O;Card Game;2000;(Uncredited);7;5.29886;516;2;6;Mattel
Gnadenlos!;American West;2001;Klaus Teuber;10;5.96579;309;3;4;KOSMOS
Eden;Farming;2001;Gal Zuckerman;10;5.62706;170;3;4;KOSMOS
Crazy Race;Bluffing;2001;Michael Schacht;12;5.78099;142;3;4;Spiele aus Timbuktu
Bali;Card Game;2001;Uwe Rosenberg;12;6.0879;219;3;4;KOSMOS
Zaubercocktail;Card Game;2001;Arnd Beenen;8;5.64091;132;4;7;KOSMOS
Hexen Rennen;Horror;2001;Wolfgang Panning;7;6.20907;182;2;4;Queen Games
Pillage & Plunder;Card Game;2000;Mike Smith;0;6.17579;63;2;6;Evidence Interactive
Grand National Derby;Animals;1996;Reiner Knizia;10;6.36203;79;2;5;Piatnik
Mustangs;Aviation / Flight;1991;S. Craig Taylor;10;6.48128;235;2;4;Avalon Hill
Midway;Nautical;1991;S. Craig Taylor;12;6.37939;148;2;2;Avalon Hill
Guadalcanal;Nautical;1992;S. Craig Taylor;10;6.35176;142;2;2;Avalon Hill
Odysseus;Ancient;2001;Dominique Ehrhard;10;5.77157;197;3;6;Jumbo
Ebbe & Flut;Abstract Strategy;2000;Wolfgang Werner;10;6.48406;457;1;2;Adlung-Spiele
Ab in den Pool!;NA;1999;Heinz Meister;6;5.84107;56;2;6;Ravensburger Spieleverlag GmbH
Strand-Cup;Card Game;2000;Mark Sienholz;10;6.14626;187;4;8;Krimsus Krimskrams-Kiste
Attack Sub;Card Game;1991;Courtney F. Allen;12;6.5187;423;2;2;Avalon Hill
Wadjet;Adventure;1996;Dee Pomerleau;10;3.86743;206;2;4;Timbuk II
Storm over Arnhem;Wargame;1981;Courtney F. Allen;12;7.16655;757;2;2;Avalon Hill
War at Sea (second edition);Nautical;1976;John Edwards;12;6.41467;866;2;2;Avalon Hill
Billionaire;Economic;1973;Marvin Glass;9;5.18775;249;2;4;Parker Brothers
Victory in the Pacific;Nautical;1977;Richard Hamblen;12;7.16876;1042;2;2;Avalon Hill
Alpha Blitz;Card Game;1998;Mike Selinker;10;5.07143;77;2;6;Wizards of the Coast
Earthquake;Card Game;1998;Mike Elliott;8;5.74685;195;2;4;Wizards of the Coast
Abduction;Adventure;1998;George Vasilakos;10;5.28024;253;2;4;Eden Studios
Anybody's Guess;Party Game;1990;(Uncredited);16;5.78148;97;2;12;Golden
Venezia;Card Game;2001;Ronald Hofstätter;10;5.848;200;2;4;Queen Games
Barbarians;Ancient;1994;Keith Poulter;12;5.35541;74;1;2;KP Games
Ohio;Card Game;1998;Reiner Knizia;12;5.86116;95;2;5;Jumbo
Days of Decision II;Political;1994;Harry Rowland;14;6.20433;104;2;7;Australian Design Group
Imperator;Ancient;1990;William L. Banks;12;5.30581;86;1;5;3W (World Wide Wargames)
Imperium Romanum II;Ancient;1985;Albert A. Nofi;16;6.56713;499;1;6;West End Games
Outdoor Survival;Adventure;1972;Jim Dunnigan;10;4.60933;848;1;4;Avalon Hill
Yali;Abstract Strategy;1996;Claus A. Harttung;8;5.28337;144;2;2;Jumbo
Get Out;Economic;1998;James Ernest;10;5.52489;235;2;8;Cheapass Games
Fight City;Card Game;1999;James Ernest;10;5.47854;178;2;2;Cheapass Games
Dixie: Bull Run;American Civil War;1994;Tom Dalgliesh;12;6.24761;335;2;2;Columbia Games
Bitin' Off Hedz;Prehistoric;1996;James Ernest;10;4.59156;454;2;8;Cheapass Games
Chief Herman's Holiday Fun Pack;NA;2000;James Ernest;10;5.79737;152;2;50;Cheapass Games
Dark Age: Feudal Lords;Card Game;1996;Luke Peterschmidt;12;6.14576;92;2;2;FPG
Ritter ohne Furcht und Tadel;Dice;1998;Hartmut Witt;10;4.29688;64;2;10;Eurogames
C&O/B&O;Trains;1969;Thomas N. Shaw;10;5.36695;59;1;2;Avalon Hill
Dungeon Dice;Dice;1977;Paul J. Gruen;8;5.86774;327;2;4;Parker Brothers
Tenjo;Medieval;2001;(Uncredited);12;5.05211;190;2;4;Whyspire? Games
Rogue Trooper;Adventure;1987;Richard Halliwell;12;6.03155;309;2;6;Games Workshop Ltd.
Wabbit's Wevenge;Comic Book / Strip;1986;Mark Acres;12;5.51684;98;2;4;Pacesetter
Hero;Adventure;1980;Michael E. Matheny;12;5.61518;56;2;3;Yaquinto
Sanctuary;Adventure;1982;Bill Fawcett;12;5.52959;245;1;6;Mayfair Games
Tactics II;Wargame;1958;Charles S. Roberts;12;5.3202;711;2;2;Avalon Hill
Gettysburg (1977 Edition);American Civil War;1977;Mick (Mike) Uhl;12;5.67809;264;2;2;Avalon Hill
Gettysburg (125th Anniversary edition);American Civil War;1988;S. Craig Taylor;12;6.54866;472;2;2;Avalon Hill
Wrasslin';Card Game;1990;Bruce Harper;10;5.91097;349;2;16;Avalon Hill
